,Identifies the type of dwelling involved in the sale.,Identifies the general zoning classification of the sale.,Linear feet of street connected to the property,plot size in square feet,Type of road access to property,General shape of property,Flatness of the property,Utilities,LotConfig,Slope of property,Neighborhood,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on the house & Exterior covering on house (if more than one material),Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior & Evaluates the present condition of the material on the exterior ,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement & Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,HeatingQC,Central air conditioning,Electrical,First Floor square feet,Second-floor square feet,Low-quality finished square feet (all floors),Above grade (ground) living area square feet,Full bathrooms above grade,Half baths above grade,BedroomAbvGr,KitchenAbvGr,KitchenQual, Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,GarageQual,GarageCond,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence,Miscellaneous feature not covered in other categories, $Value of miscellaneous feature,Month Sold (MM) & Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
29,1-STORY 1945 & OLDER,RM,60,6324sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,BrkSide,Adjacent to feeder street&Within 200' of North-South Railroad,Single-family Detached,One story,4,6,1927,1950,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,520,520,Gas forced warm air furnace,Fair,No,SBrkr,520,0,0square feet,520,1,0,1,1,Fair,4,Typical Functionality,0,No,Detached from home,1920.0,Unf,1,240square feet,Fair,TA,Paved,49square feet,0square feet,87square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2008,Warranty Deed - Conventional,Normal Sale,68500
30,2-STORY 1945 & OLDER,C (all),50,8500sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,IDOTRR,Adjacent to feeder street&Normal,Single-family Detached,Two-story,4,4,1920,1950,Gambrel,Standard (Composite) Shingle,Brick Face,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,649,649,Gas forced warm air furnace,Average/Typical,No,SBrkr,649,668,0square feet,1317,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Detached from home,1920.0,Unf,1,250square feet,Typical/Average,Fa,Dirt/Gravel,0square feet,54square feet,172square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Jul&2008,Warranty Deed - Conventional,Normal Sale,40000
31,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8544sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,Sawyer,Normal,Single-family Detached,One story,5,6,1966,2006,Gable,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,1228,1228,Gas forced warm air furnace,Good,Yes,SBrkr,1228,0,0square feet,1228,1,1,3,1,Good,6,Typical Functionality,0,No,Attached to the home,1966.0,Unf,1,271square feet,Typical/Average,TA,Paved,0square feet,65square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Jun&2008,Warranty Deed - Conventional,Normal Sale,149350
32,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,85,11049sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,CollgCr,Normal,Single-family Detached,One story,8,5,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),Unf,0,Unfinished,0,1234,1234,Gas forced warm air furnace,Excellent,Yes,SBrkr,1234,0,0square feet,1234,2,0,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2007.0,RFn,2,484square feet,Typical/Average,TA,Paved,0square feet,30square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jan&2008,Warranty Deed - Conventional,Normal Sale,179900
33,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,10552sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,5,5,1959,1959,Hip,Standard (Composite) Shingle,Brick Face,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,1018,Unfinished,0,380,1398,Gas forced warm air furnace,Good,Yes,SBrkr,1700,0,0square feet,1700,1,1,4,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1959.0,RFn,2,447square feet,Typical/Average,TA,Paved,0square feet,38square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2010,Warranty Deed - Conventional,Normal Sale,165500
34,STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,60,7313sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NridgHt,Normal,Townhouse End Unit,One story,9,5,2005,2005,Hip,Standard (Composite) Shingle,Metal Siding,Brick Face,246squarefeetsqare feet,Excellent&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed& No Exposure,GLQ,1153,Unfinished,0,408,1561,Gas forced warm air furnace,Excellent,Yes,SBrkr,1561,0,0square feet,1561,2,0,2,1,Excellent,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2005.0,Fin,2,556square feet,Typical/Average,TA,Paved,203square feet,47square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Aug&2007,Warranty Deed - Conventional,Normal Sale,277500
35,2-STORY 1946 & NEWER,Residential Low-Density,108,13418sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NridgHt,Normal,Single-family Detached,Two-story,8,5,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone ,132squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),Unf,0,Unfinished,0,1117,1117,Gas forced warm air furnace,Excellent,Yes,SBrkr,1132,1320,0square feet,2452,3,1,4,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2004.0,Fin,3,691square feet,Typical/Average,TA,Paved,113square feet,32square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Sep&2006,Warranty Deed - Conventional,Normal Sale,309000
36,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,112,10859sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,CollgCr,Normal,Single-family Detached,One story,5,5,1994,1995,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,1097,1097,Gas forced warm air furnace,Excellent,Yes,SBrkr,1097,0,0square feet,1097,1,1,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1995.0,Unf,2,672square feet,Typical/Average,TA,Paved,392square feet,64square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2009,Warranty Deed - Conventional,Normal Sale,145000
37,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,74,8532sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,5,6,1954,1990,Hip,Standard (Composite) Shingle,Wood Siding,Brick Face,650squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,1213,Unfinished,0,84,1297,Gas forced warm air furnace,Good,Yes,SBrkr,1297,0,0square feet,1297,1,0,3,1,Typical/Average,5,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1954.0,Fin,2,498square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Oct&2009,Warranty Deed - Conventional,Normal Sale,153000
38,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,68,7922sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,5,7,1953,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,GLQ,731,Unfinished,0,326,1057,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1057,0,0square feet,1057,1,0,3,1,Good,5,Typical Functionality,0,No,Detached from home,1953.0,Unf,1,246square feet,Typical/Average,TA,Paved,0square feet,52square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jan&2010,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",109000
39,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,65,6040sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Edwards,Normal,Duplex,One story,4,5,1955,1955,Gable,Standard (Composite) Shingle,Asbestos Shingles&Plywood,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,No,No& No Exposure,No,0,No,0,0,0,Gas forced warm air furnace,Average/Typical,No,FuseP,1152,0,0square feet,1152,2,0,2,2,Fair,6,Typical Functionality,0,No,No,,No,0,0square feet,No,No,Dirt/Gravel,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2008,Warranty Deed - Conventional,Adjoining Land Purchase,82000
40,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,84,8658sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,6,5,1965,1965,Gable,Standard (Composite) Shingle,Wood Siding,Brick Face,101squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,643,Unfinished,0,445,1088,Gas forced warm air furnace,Excellent,Yes,SBrkr,1324,0,0square feet,1324,2,0,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1965.0,RFn,2,440square feet,Typical/Average,TA,Paved,0square feet,138square feet,0square feet,0square feet,0square feet,0square feet,No,Good Wood,No,0,Dec&2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",160000
41,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,115,16905sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Timber,Normal,Single-family Detached,One story,5,6,1959,1959,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Good Exposure,BLQ,967,Unfinished,0,383,1350,Gas forced warm air furnace,Good,Yes,SBrkr,1328,0,0square feet,1328,1,1,2,1,Typical/Average,5,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1959.0,RFn,1,308square feet,Typical/Average,TA,Partial Pavement,0square feet,104square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2007,Warranty Deed - Conventional,Normal Sale,170000
42,SPLIT FOYER,Residential Low-Density,0,9180sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,SawyerW,Normal,Single-family Detached,Split Foyer,5,7,1983,1983,Gable,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),ALQ,747,Low Quality,93,0,840,Gas forced warm air furnace,Good,Yes,SBrkr,884,0,0square feet,884,1,0,2,1,Good,5,Typical Functionality,0,No,Attached to the home,1983.0,RFn,2,504square feet,Typical/Average,Gd,Paved,240square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Dec&2007,Warranty Deed - Conventional,Normal Sale,144000
43,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9200sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,CollgCr,Normal,Single-family Detached,One story,5,6,1975,1980,Hip,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),LwQ,280,Below Average Living Quarters,491,167,938,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,938,0,0square feet,938,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1977.0,Unf,1,308square feet,Typical/Average,TA,Paved,145square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Jul&2008,Warranty Deed - Conventional,Normal Sale,130250
44,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7945sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,5,6,1959,1959,Gable,Standard (Composite) Shingle,Brick Face&Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,ALQ,179,Below Average Living Quarters,506,465,1150,Gas forced warm air furnace,Excellent,Yes,FuseA,1150,0,0square feet,1150,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1959.0,RFn,1,300square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2006,Warranty Deed - Conventional,Normal Sale,141000
45,STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,61,7658sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NridgHt,Normal,Townhouse End Unit,One story,9,5,2005,2005,Hip,Standard (Composite) Shingle,Metal Siding,Brick Face,412squarefeetsqare feet,Excellent&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed& No Exposure,GLQ,456,Unfinished,0,1296,1752,Gas forced warm air furnace,Excellent,Yes,SBrkr,1752,0,0square feet,1752,2,0,2,1,Excellent,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2005.0,RFn,2,576square feet,Typical/Average,TA,Paved,196square feet,82square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Feb&2010,Warranty Deed - Conventional,Normal Sale,319900
46,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,48,12822sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,Mitchel,Normal,Single-family Detached,One and one-half story: 2nd level finished,7,5,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed& No Exposure,GLQ,1351,Unfinished,0,83,1434,Gas forced warm air furnace,Excellent,Yes,SBrkr,1518,631,0square feet,2149,1,1,1,1,Good,6,Typical Functionality,1,Excellent - Exceptional Masonry Fireplace,Attached to the home,2003.0,RFn,2,670square feet,Typical/Average,TA,Paved,168square feet,43square feet,0square feet,0square feet,198square feet,0square feet,No,No,No,0,Aug&2009,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",239686
47,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,84,11096sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Somerst,Normal,Single-family Detached,One story,8,5,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,24,Unfinished,0,1632,1656,Gas forced warm air furnace,Excellent,Yes,SBrkr,1656,0,0square feet,1656,2,0,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2006.0,RFn,3,826square feet,Typical/Average,TA,Paved,0square feet,146square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2007,Warranty Deed - Conventional,Normal Sale,249700
48,2 FAMILY CONVERSION - ALL STYLES AND AGES,RM,33,4456sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,OldTown,Normal,2fmCon,Two-story,4,5,1920,2008,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,736,736,Gas forced warm air furnace,Good,Yes,SBrkr,736,716,0square feet,1452,2,0,2,3,Typical/Average,8,Typical Functionality,0,No,No,,No,0,0square feet,No,No,Dirt/Gravel,0square feet,0square feet,102square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2009,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),113000
49,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66,7742sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Sawyer,Normal,Single-family Detached,One story,5,7,1966,1966,Gable,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,BLQ,763,Unfinished,0,192,955,Gas forced warm air furnace,Excellent,Yes,SBrkr,955,0,0square feet,955,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1966.0,Unf,1,386square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Jan&2007,Warranty Deed - Conventional,Normal Sale,127000
50,2-STORY 1946 & NEWER,Residential Low-Density,0,13869sqare feet,Paved,Moderately Irregular,Near Flat/Level,AllPub,Corner,Gentle slope,Gilbert,Normal,Single-family Detached,Two-story,6,6,1997,1997,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,182,Unfinished,0,612,794,Gas forced warm air furnace,Good,Yes,SBrkr,794,676,0square feet,1470,2,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1997.0,Fin,2,388square feet,Typical/Average,TA,Paved,0square feet,75square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2007,Warranty Deed - Conventional,Normal Sale,177000
51,1-1/2 STORY FINISHED ALL AGES,RM,52,6240sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,BrkSide,Normal,Single-family Detached,One and one-half story: 2nd level finished,6,6,1934,1950,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,816,816,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,816,0,360square feet,1176,1,0,3,1,Typical/Average,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1985.0,Unf,2,528square feet,Typical/Average,TA,Paved,112square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,Shed (over 100 SF),400,Sep&2006,Warranty Deed - Conventional,Normal Sale,114500
52,DUPLEX - ALL STYLES AND AGES,RM,110,8472sqare feet,Gravel,Moderately Irregular,Banked - Quick and significant rise from street grade to building,AllPub,Corner,Moderate Slope,IDOTRR,Within 200' of North-South Railroad&Normal,Duplex,One story,5,5,1963,1963,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Fair&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed&Good Exposure,LwQ,104,Good Living Quarters,712,0,816,Gas forced warm air furnace,Average/Typical,No,SBrkr,816,0,0square feet,816,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Car Port,1963.0,Unf,2,516square feet,Typical/Average,TA,Paved,106square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2010,Warranty Deed - Conventional,Normal Sale,110000
